UTM_X	UTM_Y	GDP值
470228.927067	4508827.152073	0.036877
471272.009074	4508629.743959	0.014575
507776.847923	4501744.431119	0.003380
508819.760630	4501548.388156	0.031257
509862.668961	4501352.382728	0.376600
510905.572934	4501156.414814	0.361536
511948.472567	4500960.484393	1.004266
512991.367878	4500764.591444	2.937479
514034.258883	4500568.735947	0.767900
515077.145601	4500372.917881	0.421792
516120.028050	4500177.137224	0.386643
517162.906247	4499981.393956	0.527240
518205.780209	4499785.688056	0.331408
519248.649956	4499590.019503	1.556562
520291.515504	4499394.388277	0.477977
521334.376870	4499198.794356	6.292840
522377.234074	4499003.237719	3.424236
523420.087132	4498807.718345	1.056334
524462.936062	4498612.236215	1.111940
525505.780882	4498416.791306	0.966606
526548.621610	4498221.383598	7.391400
527591.458263	4498026.013070	0.316344
528634.290860	4497830.679701	0.105448
529677.119417	4497635.383471	0.035149
530719.943952	4497440.124358	0.376600
531762.764484	4497244.902341	0.035149
533848.393608	4496854.569513	0.004642
445999.593917	4512516.432904	0.030128
447042.787220	4512318.129348	0.120512
448085.975095	4512119.864528	0.263620
465819.355436	4508755.269110	0.225960
466862.448606	4508557.697989	1.968362
467905.536683	4508360.165209	10.031510
468948.619683	4508162.670749	4.089308
469991.697624	4507965.214588	0.027117
471034.770525	4507767.796706	0.027262
473120.901274	4507373.075694	0.007521
506496.375842	4501078.215675	0.087887
507539.283435	4500882.124412	0.010141
508582.186624	4500686.070678	0.012553
509625.085425	4500490.054450	0.376600
510667.979857	4500294.075709	0.743157
511710.869938	4500098.134434	0.429324
512753.755684	4499902.230602	1.174992
513796.637114	4499706.364195	13.738364
514839.514246	4499510.535190	0.441877
515882.387096	4499314.743567	0.376600
516925.255683	4499118.989306	0.617624
517968.120025	4498923.272384	0.424303
519010.980139	4498727.592782	0.641663
520053.836043	4498531.950478	0.830683
521096.687755	4498336.345451	9.661419
522139.535292	4498140.777681	1.284088
523182.378672	4497945.247147	0.536709
524225.217913	4497749.753828	1.015279
525268.053033	4497554.297703	0.241024
526310.884049	4497358.878751	0.267770
527353.710978	4497163.496951	0.376600
528396.533840	4496968.152282	0.009266
529439.352651	4496772.844724	0.007521
531524.978192	4496382.340855	0.004642
532567.784958	4496187.144503	0.003482
445762.575944	4511654.705607	1.067033
446805.760392	4511456.392934	0.165704
447848.939401	4511258.118969	5.016310
463495.983676	4508288.640384	0.033803
465582.167257	4507893.363825	0.007521
466625.251354	4507695.783058	0.783328
467668.330345	4507498.240603	8.066242
468711.404249	4507300.736440	0.035149
469754.473083	4507103.270549	0.052724
470797.536865	4506905.842909	0.013162
472883.649341	4506511.102297	0.007521
507301.723388	4500019.811529	0.662816
508344.617045	4499823.747034	0.557368
509387.506304	4499627.720018	2.725623
510430.391182	4499431.730460	0.030128
511473.271697	4499235.778340	0.160683
512516.147867	4499039.863637	7.072546
513559.019709	4498843.986329	0.316344
514601.887241	4498648.146397	0.331408
515644.750480	4498452.343819	0.202315
516687.609445	4498256.578573	5.001246
517730.464154	4498060.850641	0.331408
518773.314623	4497865.159999	0.109184
