地址	城市	lat_transformed	lon_transformed	Price
上海市杨浦区敦化路28号	上海市	360893.2823872073	3462603.8941511326	47879.0
上海市杨浦区松花江路40弄	上海市	361154.7527401467	3463603.349845056	59133.0
上海市杨浦区延吉东路131弄	上海市	361093.83538512187	3463254.1465550843	50978.0
上海市杨浦区靖宇南路5弄	上海市	359485.0133099404	3461775.584573405	61547.0
上海市杨浦区控江路896弄	上海市	359947.4068759915	3461975.4953565802	59096.0
上海市杨浦区万昌大厦	上海市	359712.6487314041	3462199.775206761	60726.0
上海市杨浦区凤城路104弄	上海市	359078.89008224814	3461738.515836482	54593.0
上海市杨浦区延吉东路137弄	上海市	361235.9796823559	3463225.4776798	55433.0
上海市杨浦区控江路888弄	上海市	360102.2816379475	3462138.0078707347	59181.0
上海市杨浦区控江路874弄	上海市	360216.7058525074	3462102.685141685	58443.0
上海市杨浦区凤城四村	上海市	358824.9142662985	3462193.4562553046	65602.0
上海市杨浦区控江七村	上海市	359891.1991759731	3462144.7393442565	58221.0
上海市杨浦区双阳路503号	上海市	359767.2947210743	3462164.636586568	63869.0
上海市杨浦区控江二村	上海市	359279.6731402428	3462080.217377037	61282.0
上海市杨浦区控江路1456号	上海市	358998.7724779701	3461412.31485992	59829.0
上海市杨浦区图们路19号	上海市	361439.39218547696	3462869.340379577	46444.0
上海市杨浦区控江路34号	上海市	361476.70285019267	3462890.3260250357	53032.0
上海市杨浦区控江路652弄	上海市	360677.513290633	3462424.1019686954	56117.0
上海市杨浦区凤城一村	上海市	358564.04999236367	3461427.483038959	64758.0
上海市杨浦区控江路802弄	上海市	360241.1174342277	3462179.227297267	58647.0
上海市杨浦区靖宇南路5弄	上海市	359485.0133099404	3461775.584573405	61547.0
上海市杨浦区万昌大厦	上海市	359712.6487314041	3462199.775206761	60726.0
上海市杨浦区敦化路3弄	上海市	360766.1192051851	3462590.390124376	48842.0
上海市杨浦区永吉路97弄	上海市	360044.08008721913	3462207.2070827135	58173.0
上海市杨浦区延吉东路555弄	上海市	360695.99549048324	3462638.006234791	49961.0
上海市杨浦区东方名园	上海市	359220.08610942774	3461888.5608695014	89565.0
上海市杨浦区杨浦公寓	上海市	359797.0424554212	3461937.7096680272	96503.0
上海市杨浦区延吉东路315弄	上海市	360853.58635621984	3462786.609090518	55379.0
上海市杨浦区凤城路104弄	上海市	359078.89008224814	3461738.515836482	54593.0
上海市杨浦区延吉东路137弄	上海市	361235.9796823559	3463225.4776798	55433.0
上海市杨浦区控江路888弄	上海市	360102.2816379475	3462138.0078707347	59181.0
上海市杨浦区控江路874弄	上海市	360216.7058525074	3462102.685141685	58443.0
上海市杨浦区控江七村	上海市	359891.1991759731	3462144.7393442565	58221.0
上海市杨浦区益晖新苑	上海市	361087.7096104502	3462919.319456787	74573.0
上海市杨浦区凤城四村	上海市	358824.9142662985	3462193.4562553046	65602.0
上海市杨浦区控江路474号	上海市	361231.6109232351	3462704.458842344	53312.0
