地址	城市	lat_transformed	lon_transformed	Price
北京市昌平区北街家园八区	北京市	436440.38730137784	4446206.779648381	43441.0
北京市昌平区龙湖滟澜新宸西区	北京市	435146.90699364356	4444963.072068808	44119.0
北京市昌平区北街家园六区	北京市	436392.8159213353	4445513.17915983	43574.0
北京市昌平区沙河回收宿舍	北京市	437079.36922464496	4442218.179963041	29767.0
北京市昌平区顺驰林溪二期	北京市	440788.40840792394	4446872.695418734	36548.0
北京市朝阳区华源之星	北京市	452696.4734191828	4419881.455974864	84427.0
北京市朝阳区白家庄北里	北京市	453419.8764329479	4420249.370967328	91270.0
北京市朝阳区中纺东里	北京市	453019.80979540205	4419882.92293469	81531.0
北京市朝阳区中纺里	北京市	452698.89170722605	4419716.075445272	98162.0
北京市朝阳区首开铂郡8号院	北京市	452591.8263388881	4420899.690997148	87008.0
北京市朝阳区泰悦豪庭	北京市	452979.2331318861	4419763.300595477	64453.0
北京市朝阳区兴华公寓	北京市	452731.06301159225	4419708.195244213	119677.0
北京市朝阳区康堡花园	北京市	452595.84145199	4419819.432327578	91080.0
北京市朝阳区富力爱丁堡公馆	北京市	453296.31815051683	4419914.122419662	111221.0
北京市朝阳区首开铂郡12号院	北京市	452591.8263388881	4420899.690997148	83542.0
北京市朝阳区三里屯东	北京市	452726.01965384383	4420229.96615437	74034.0
北京市朝阳区三里屯北小街	北京市	452692.59745159186	4421463.8227766305	86895.0
北京市朝阳区三里屯北	北京市	452726.01965384383	4420229.96615437	74190.0
北京市朝阳区三里屯SOHO	北京市	452898.2637002881	4422063.346038844	68121.0
北京市朝阳区三里屯南路	北京市	452959.6194488908	4419864.030880397	91741.0
北京市朝阳区三里屯南	北京市	452726.01965384383	4420229.96615437	76878.0
北京市朝阳区逸盛阁	北京市	452565.9653456252	4420887.573639723	68370.0
北京市朝阳区南三里屯	北京市	452611.25290620996	4420195.848413608	69168.0
北京市朝阳区幸福三村	北京市	452687.51356013963	4420883.928233402	69269.0
北京市朝阳区瑞安君汇	北京市	453316.7349613735	4420144.691630798	115084.0
北京市朝阳区白家庄西里	北京市	452967.37841080216	4420182.317126434	97125.0
北京市大兴区枫荷园	北京市	440655.00104657124	4373778.248121645	17504.0
北京市大兴区榆垡新城嘉园B区	北京市	440295.2974881386	4374971.212607829	19778.0
北京市大兴区榆垡新城嘉园A区	北京市	440587.2286709311	4375033.738976062	19759.0
北京市大兴区榆垡新城嘉园C区	北京市	440256.0708877594	4374753.909888097	20131.0
北京市大兴区榆垡新城嘉园D区	北京市	440290.1632527205	4374466.29913184	20664.0
北京市大兴区椿蓉园	北京市	440931.8857767038	4373662.172640086	18003.0
北京市朝阳区牛王庙	北京市	453137.5825708886	4422562.898387178	64838.0
北京市朝阳区世方豪庭	北京市	452648.7390404785	4422025.020574521	82928.0
北京市朝阳区三源里街	北京市	452869.44240414747	4422634.587125603	64284.0
北京市朝阳区三源里南小街	北京市	452770.61481475574	4422484.422923602	64175.0
北京市朝阳区儒林苑	北京市	452818.9479589925	4422754.735864116	74752.0
北京市朝阳区SOHO北京公馆	北京市	452637.66922623967	4418208.635697381	64167.0
北京市朝阳区新源里西	北京市	452603.23614033416	4422204.093200901	73474.0
北京市朝阳区新源南路	北京市	453034.26453350636	4422040.921808316	71072.0
北京市朝阳区琨莎中心	北京市	452536.02202686307	4422054.609002011	37743.0
北京市朝阳区新源街	北京市	452885.1915544347	4422350.849012222	68413.0
北京市朝阳区新源里东	北京市	452603.23614033416	4422204.093200901	64560.0
北京市朝阳区顺源里	北京市	452977.645182343	4422226.457179785	73026.0
北京市朝阳区昆仑公寓	北京市	453204.0075617099	4422014.073905637	111914.0
北京市昌平区通福桥甲31号	北京市	434474.3858171941	4452530.992525168	36883.0
北京市昌平区商业宿舍楼	北京市	434161.1985601183	4452198.863276554	36712.0
北京市昌平区鼓楼大街西侧1号楼	北京市	434209.71760255186	4451620.5731914025	29408.0
北京市昌平区清真寺胡同	北京市	434054.69330938	4452138.548251041	28593.0
北京市昌平区和平家园小区	北京市	433881.92105746863	4452888.719318369	32805.0
北京市昌平区静心苑	北京市	433591.10623570235	4452937.246051842	31789.0
北京市昌平区永安里小区	北京市	434145.0563580319	4451354.494201282	31990.0
北京市昌平区昌平宽街	北京市	434038.5963498877	4452819.572423599	30029.0
北京市昌平区昌平商业街	北京市	433972.0852188461	4451808.012631025	34898.0
北京市昌平区石坊院	北京市	434519.6251544303	4451857.053923507	37680.0
北京市昌平区润杰经典创新园	北京市	434746.0654427913	4451294.18354119	33986.0
北京市昌平区瑞光胡同	北京市	433946.207773486	4452520.079316144	31067.0
北京市昌平区雅馨家园	北京市	434708.4993658812	4452737.977690289	36602.0
北京市昌平区南环里	北京市	434577.9558015883	4451646.265007015	36246.0
北京市昌平区邑上苑	北京市	434451.8759392405	4452935.050256542	50537.0
北京市昌平区鼓楼北街3号	北京市	434276.8836177081	4453167.851246393	33953.0
北京市昌平区铁佛庵	北京市	434701.0405833876	4452562.902698259	39695.0
北京市昌平区北环路25号院	北京市	434008.64729656425	4453405.47751944	28198.0
北京市昌平区市政宿舍南楼	北京市	433805.1649638023	4451750.044467025	29653.0
北京市昌平区天泽苑小区	北京市	433863.3998637826	4452757.123378686	29089.0
北京市昌平区粮食局宿舍楼	北京市	434020.2599693538	4452196.308388447	36034.0
北京市昌平区永安路小区	北京市	434329.7300716772	4451112.078818947	31594.0
北京市昌平区七一宿舍	北京市	433802.5839033758	4452160.048208908	31236.0
北京市昌平区泰安胡同北楼	北京市	434054.2371697626	4452430.999392439	34590.0
北京市昌平区五街法院宿舍满井47号	北京市	433839.95013252465	4451643.894540785	28935.0
