lon	lat	Level1	Level2
4378895.375349036	454637.5198403737	4	10
4378947.376020507	456683.28686513373	3	5
4379490.672031077	454696.9883242662	4	10
4379413.486346694	455558.35638513113	4	10
4379715.896813928	455301.0467665878	4	10
4380005.178410785	457024.0904827468	4	10
4380068.74113628	457076.21116060857	4	10
4380118.501565701	457058.9368830772	4	10
4380165.37727358	457064.6383665946	0	0
4380548.314733551	456884.254777341	3	5
4380852.146588324	456749.7622869868	4	10
4380893.976097445	457055.78304397874	0	0
4381128.2746524885	456684.2491210902	4	10
4380554.078121505	457179.78142611287	4	10
4381168.807499356	456876.9942074616	0	0
4381353.527400414	456636.3087118156	4	7
4381377.14234189	456836.8731551418	0	0
4381238.994641727	457085.2665152373	0	0
4381469.392286105	456826.67637380917	4	7
4381214.708866144	456528.4328757613	4	10
4381422.900850383	457456.0647183638	0	0
4381157.539860286	457328.6326721229	4	10
4381642.010274068	457224.18648476823	4	7
4381625.5537216915	457438.4634183413	4	10
4381627.868190083	456809.42807571444	4	10
4388181.881032324	457096.5148936547	4	7
4388504.94801047	457047.4369441337	4	8
4388337.863280749	457559.89411491907	2	3
4388842.376966315	457004.09119539656	0	0
4388953.308273234	456437.55884100037	4	10
4453564.837389462	456292.4891860391	4	10
4453465.411749056	456951.0825735877	4	10
4455709.450466648	457330.0177506432	0	0
4462714.751715246	462628.0904215686	4	10
4463957.279041668	462196.2380287314	0	0
4463498.441254145	462320.93256809557	4	10
4463328.149960937	462973.1443651981	4	10
4386499.850887313	462873.3558821112	4	10
4392819.9421601845	468687.3572715709	0	0
4393023.474844766	468420.86487433914	0	0
4393030.96517111	468501.748912266	0	0
4393057.397139945	468582.2134957514	4	7
4393067.198065683	468660.60762591404	0	0
4393111.232098615	468738.83633040084	2	3
4393168.353649519	468857.9955477443	4	10
4393238.200603393	468519.73345072387	4	10
4393032.019049048	468347.49188589776	4	10
4392860.308633705	468878.4651180447	4	10
4392765.779000423	468512.67620858643	0	0
4471789.572248629	470995.59417437477	4	10
4471518.14102675	471181.8154824142	4	10
4471501.012697993	471136.00620594266	4	10
4472623.445789656	470701.3543560168	4	10
4472787.409498543	470708.9711015007	4	10
4472776.218345992	470715.8789599019	4	10
4472765.027131244	470722.7868123415	4	10
4472753.835923288	470729.69468577113	4	10
4472729.335268892	470740.29024901456	4	10
4472706.952893001	470754.10613441037	4	10
4472639.648131658	470793.39243583084	4	10
4472593.192081093	470805.69787539943	4	10
4472503.521577858	470770.2009906463	4	10
4472134.00814125	470520.25121014565	4	10
4472846.977680722	470776.33371819527	4	10
4469124.562036996	470362.5889866497	4	10
4469475.645382678	470005.9348129019	4	10
4470693.132507276	471223.5452561039	4	10
4469930.64123249	470306.0403085189	4	10
4470846.358719736	471285.66692492086	4	10
4470435.2772110775	470944.6437865695	4	10
4470088.908205081	470759.21772242954	4	10
4470122.480829475	469890.58913959016	4	10
4469492.302458815	470592.4012993855	4	10
4470064.946570257	469600.8018683842	4	10
4377525.595363565	393588.5831597009	4	7
4377312.191133056	394723.9641533971	2	3
4377512.725660829	395808.40981164295	4	9
4380577.940926879	388718.8791571948	4	10
4380588.429632705	388925.02046284423	2	3
4380682.282783819	388501.6941207518	4	6
4380853.439186391	388140.85950851225	4	10
4380698.372618975	388665.92060015263	4	7
4380801.598917438	388240.80058908934	2	3
4380771.794560466	388421.71266915865	4	8
4379028.339480977	390908.08669558883	4	10
4378288.039418349	392127.66776232485	4	10
4378269.7394237565	392118.9279893927	4	10
4378258.0339631075	392111.94257750415	4	10
4378238.778868389	392103.47915980825	4	10
4378219.582981732	392095.2201679771	4	10
4378200.387103639	392086.96113712643	4	10
4378187.818118207	392080.2166897131	4	10
4378168.622255558	392071.95759113407	4	10
4378149.426401479	392063.6984535324	4	10
4378130.2305559665	392055.43927691196	4	10
4380714.382373184	389382.93825886335	2	3
4380738.09303704	389169.4667119937	2	3
4380898.713202955	388643.9772375501	4	6
4381010.880643345	388369.94634429814	4	6
4381022.766025368	388600.8347027787	2	3
4381030.263684653	388157.14235755353	4	10
4380398.079224632	388135.89663853974	4	10
4380631.262021265	388174.7889149523	4	10
4381026.610535305	388726.2010140847	4	7
4380859.832792183	388911.4095394552	1	2
4381225.564199095	388450.2129304824	4	7
4381197.73522234	388971.34282565024	2	3
4381234.732600944	388698.13750971865	4	8
4381216.183790621	388842.764259911	4	7
4381251.34295921	389198.51891994907	2	3
